Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered
30,0,16,14,0,0,0
17,1,0,16,5,0,0
107,3,21,83,16,0,0
267,0,1,266,28,0,0
2,0,1,1,0,0,0
79,1,0,78,2,0,0
264,0,1,263,172,0,0
59,1,1,57,4,0,0
40,0,1,39,10,0,0
1794,33,12,1749,575,14,0
1457,2,18,1437,281,0,0
71,7,3,61,11,1,0
10149,631,724,8794,977,168,0
69,0,1,68,5,0,0
41,1,1,39,9,1,0
129,0,24,105,12,0,0
3,1,0,2,1,1,0
382,4,0,378,61,1,0
400,0,1,399,195,0,0
25,0,3,22,10,0,0
20,0,3,17,3,0,0
51,2,0,49,15,1,0
4,0,1,3,0,0,0
160,0,78,82,10,0,0
1695,35,32,1628,622,7,0
491,3,3,485,117,1,0
31,0,16,15,1,0,0
12,1,0,11,2,1,0
19,1,0,18,2,0,0
128,3,21,104,21,0,0
246,0,4,242,64,0,0
9,0,3,6,0,0,0
314,3,1,310,47,3,0
7,1,0,6,3,1,0
3,0,1,2,1,0,0
108,1,0,107,29,0,0
444,0,1,443,180,0,0
59,0,1,58,19,0,0
2293,48,12,2233,499,15,0
99,1,0,98,10,1,0
85,0,1,84,16,0,0
62,1,4,57,6,1,0
34,1,2,31,7,1,0
43,1,0,42,9,1,0
79,0,4,75,4,0,0
10,0,1,9,2,0,0
61,3,1,57,20,2,0
8,0,4,4,1,0,0
5,1,0,4,2,0,0
503,5,0,498,121,1,0
598,0,1,597,198,0,0
18,0,9,9,0,0,0
20,0,2,18,1,0,0
8,1,0,7,7,1,0
49,1,2,46,16,0,0
20,0,3,17,0,0,0
62,2,0,60,11,0,0
21,0,1,20,1,0,0
4,0,1,3,0,0,0
2,0,1,1,1,0,0
500,1,0,499,145,1,0
48,1,17,30,1,0,0
1109,33,8,1068,398,5,0
1301,7,19,1275,412,0,0
38,0,16,22,7,0,0
23,1,0,22,11,0,0
19,1,0,18,0,0,0
128,3,21,104,0,0,0
302,1,4,297,56,1,0
11,0,3,8,0,0,0
195,0,35,160,0,0,0
12,0,3,9,3,0,0
314,3,1,310,0,0,0
7,1,0,6,0,0,0
3,0,1,2,0,0,0
117,1,0,116,9,0,0
617,0,1,616,173,0,0
67,1,27,39,7,0,0
59,0,1,58,0,0,0
2293,48,12,2233,0,0,0
2078,3,25,2050,170,0,0
